File Name: JRN_368002_ant_nest_soil_nutrient_data.csv      Last Update: 06/10/2015    By: Ken Ramsey,,,,,,,,,,,,,
,,,,,,,,,,,,,
Project title: Effects of harvester ant nests on soil properties and vegetation,,,,,,,,,,,,,
Data set title: Ant nest soil nutrients,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Changes: [06/10/2015, Ken Ramsey]   - converted data file from fixed format to comma-separated value format.",,,,,,,,,,,,,
                                      changed missing values from '.' (without quotes) to 'NULL' (without quotes).,,,,,,,,,,,,,
                                      updated file name using naming convention.,,,,,,,,,,,,,
         [06/23/2015 by Ken Ramsey] - updated heading.,,,,,,,,,,,,,
         [07/14/2015 by Jim Lenz]   - renamed file following naming convention.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Variable description:,,,,,,,,,,,,,
"   SAMPLE  - Replicate sample analysis number (1,2)",,,,,,,,,,,,,
   PLACE   - Research site,,,,,,,,,,,,,
"             1=burrograss-tobosa swale, 2=College Playa fringe,",,,,,,,,,,,,,
             3=upper basin slope mixed grasses,,,,,,,,,,,,,
   REP     - Sample replicate,,,,,,,,,,,,,
             1-8 when PLACE=1,,,,,,,,,,,,,
             1-5 when PLACE=2,,,,,,,,,,,,,
             1-7 when PLACE=3,,,,,,,,,,,,,
   TRT     - Treatment,,,,,,,,,,,,,
             1=ant nest perimeter,,,,,,,,,,,,,
             2=reference site,,,,,,,,,,,,,
   NA      - Na (meq/100g soil),,,,,,,,,,,,,
   K       - K  (meq/100g soil),,,,,,,,,,,,,
   CA      - Ca (meq/100g soil),,,,,,,,,,,,,
   MG      - Mg (meq/100g soil),,,,,,,,,,,,,
   NO3     - NO3-N (mg/kg soil),,,,,,,,,,,,,
1,2,5,1,0.01,1.08,12.45,1.58,1.38,0.22,3.13,0.305,461,0.833
1,2,1,2,0.01,0.99,14.61,1.34,1.35,0.36,5.45,0.561,472,0.944
1,2,2,2,0.01,0.96,16.89,1.44,0.73,1.05,3.92,0.394,438,0.3
1,2,3,2,0.02,1.43,17.64,1.43,1.07,1.15,9.96,1.001,540,0.571
1,2,4,2,0.02,1.11,13.73,1.83,0.82,1.6,1.79,0.18,508,0.732
1,2,5,2,0.02,0.93,12.64,1.94,0.38,0.82,1.74,0.18,432,0.231
1,3,1,1,0.03,0.69,5.23,1.82,1.71,0.96,23.83,2.473,391,0.214
1,3,2,1,0.01,0.85,6.85,1.95,5.13,1.55,38.43,3.89,578,0.51
1,3,3,1,0.01,1.16,6.91,2.21,1.69,1.28,11.46,1.196,409,0.267
1,3,4,1,0.01,0.8,5.12,2.13,1.51,2.44,16.28,1.64,386,0.942
1,3,5,1,0.02,0.93,5.36,2.12,2.67,2.13,11.8,1.212,471,0.651
1,3,1,2,0.03,0.74,9.41,1.76,0.36,0.4,8.68,0.891,305,0.241
1,3,2,2,0.01,0.78,7.67,1.83,2.49,1.29,8.02,0.797,490,0.28
1,3,3,2,0.01,0.82,6.7,2.21,0.41,1.14,6.2,0.628,376,0.242
1,3,4,2,0.02,0.93,7.65,2.39,0.37,0.26,7.6,0.75,414,0.534
1,3,5,2,0.01,0.68,5.44,1.93,0.35,0.35,9.76,1.005,365,0.566
2,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,852,NULL
2,1,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,500,NULL
2,1,3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,587,NULL
2,1,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,879,NULL
2,1,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,569,NULL
2,1,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1062,NULL
2,1,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,471,NULL
2,1,3,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,513,NULL
2,1,4,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,616,NULL
2,1,5,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,580,NULL
2,2,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,469,NULL
2,2,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,450,NULL
2,2,3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,514,NULL
2,2,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,417,NULL
2,2,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,439,NULL
2,2,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,450,NULL
2,2,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,411,NULL
2,2,3,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,518,NULL
2,2,4,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,484,NULL
2,2,5,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,399,NULL
2,3,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,365,NULL
2,3,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,561,NULL
2,3,3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,379,NULL
2,3,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,352,NULL
2,3,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,435,NULL
2,3,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,278,NULL
2,3,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,440,NULL
2,3,3,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,374,NULL
2,3,4,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,481,NULL
2,3,5,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,365,NULL
